"Time [ms]","STEEL_1008 [mA]","Steel_1008_NoEddy [mA]","SS430 [mA]"
0,0,0,0
0.1,24.8207697613907,3.5829128048218,4.16644567276937
0.2,35.0545562203213,7.15288973031543,8.31529903373264
0.3,43.0478806344347,10.7098720592433,12.4463859083653
0.4,49.9645688649762,14.2538077703579,16.5595489980954
0.5,56.2750978334465,17.7846471032255,20.6546373215791
0.6,62.1471942801157,21.302342495652,24.7315060233952
0.7,67.6979956934791,24.8068485212692,28.7900161838465
0.8,72.9936678491564,28.2981218260247,32.8300346275963
0.9,78.0886643662619,31.7761210638184,36.8514337302961
1,83.0257257691922,35.2408068293561,40.8540912205944
1.1,87.8397021955318,38.6921415885663,44.837889975572
1.2,92.5604985868927,42.1300896043747,48.8027178060626
1.3,97.2375018689514,45.5546168566689,52.7484672276382
1.4,101.91600140977,48.9656909538595,56.67503521262
1.5,106.603407449675,52.3632810339052,60.5823229135579
1.6,111.292373872554,55.7473576493984,64.4702433173984
1.7,115.976050636546,59.1178926316987,68.3387236216982
1.8,120.654678104087,62.4748602303025,72.1876863293128
1.9,125.32829749878,65.8182455134223,76.0170530331513
2,129.988723754323,69.148030696403,79.8267554970983
2.1,134.634625765304,72.4641964185375,83.6167408810732
2.2,139.274083515836,75.7667231513759,87.3869622749609
2.3,143.907885298033,79.0555962335696,91.1373700048204
2.4,148.534791805708,82.3308072127662,94.867922485338
2.5,153.124208939895,85.5923529979045,98.5785825158704
2.6,157.654047252611,88.8402261512231,102.269315739973
2.7,162.107682382654,92.0744205058346,105.940089622802
2.8,166.477462977062,95.2949348010145,109.590873196424
2.9,170.765195920098,98.5017680450484,113.221639037484
3,174.977070731296,101.694919889888,116.832364269328
3.1,179.12120580658,104.874390235632,120.423038213372
3.2,183.207443016554,108.040179027425,123.993649799177
3.3,187.24276261894,111.19228781501,127.544199341323
3.4,191.232301178755,114.330719464387,131.074686636116
3.5,195.181668561966,117.455470716282,134.585117868108
3.6,199.096872660813,120.566512841737,138.075465359424
3.7,202.983302134414,123.663821479024,141.545709799395
3.8,206.846269300176,126.747364853497,144.995828392269
3.9,210.689372036688,129.817110757007,148.425799854215
4,214.513745423151,132.873025277713,151.83560210795
4.1,218.32125487071,135.915069296527,155.225209306657
4.2,222.114400729838,138.9432007772,158.594601983162
4.3,225.894541547433,141.957376288084,161.943763199474
4.4,229.661046158155,144.957324745975,165.27245816327
4.5,233.411846848336,147.943440866661,168.581123492094
4.6,237.14493667157,150.91545079703,171.869559747532
4.7,240.858726306747,153.873297200543,175.137852632095
4.8,244.550762422102,156.816923154085,178.386257053699
4.9,248.216811061384,159.746263638061,181.615076071346
5,251.851358830789,162.66125527838,184.824463630844
5.1,255.449385267037,165.561833105702,188.014559018995
5.2,259.008512257495,168.447930016102,191.18583858062
5.3,262.527596139975,171.319478676279,194.338767408372
5.4,266.006165338251,174.176414508597,197.473587210711
5.5,269.444580637888,177.01868339982,200.590470649713
5.6,272.843036516768,179.846259823135,203.689547993008
5.7,276.201754622806,182.659164518403,206.771064025292
5.8,279.521013125199,185.457441102679,209.835260794163
5.9,282.801921202426,188.241077379941,212.882289285436
6,286.04620066875,191.010033144859,215.912261219376
6.1,289.255820157817,193.764254982807,218.925259927164
6.2,292.4331979443,196.503758961762,221.921344386428
6.3,295.580818190695,199.228690535889,224.900554430665
6.4,298.701344187255,201.939103801245,227.862909725216
6.5,301.797508531118,204.635075343944,230.80841776762
6.6,304.871831656234,207.316673010229,233.737066987144
6.7,307.926236311874,209.983889086264,236.648837410873
6.8,310.961961258583,212.636688558946,239.543698694838
6.90000000000001,313.979885749392,215.275006715252,242.421611629574
7.00000000000001,316.980564178742,217.898758252582,245.282526904538
7.10000000000001,319.9639938348,220.507840489156,248.126387791796
7.20000000000001,322.929800711006,223.102135839807,250.953128404039
7.30000000000001,325.877429908141,225.681521071293,253.762682405122
7.40000000000001,328.80623149545,228.245856682367,256.554964170362
7.50000000000001,331.715579047604,230.794993563406,259.329893942364
7.60000000000001,334.604702816784,233.328921772458,262.0873747431
7.70000000000001,337.472800794472,235.847179106291,264.827458808933
7.80000000000001,340.318916583241,238.348982560698,267.549753336634
7.90000000000001,343.142032247025,240.835582771051,270.25355621939
8.00000000000001,345.941310357189,243.306169761995,272.940185490065
8.10000000000001,348.715610012091,245.760481086345,275.609170894843
8.20000000000001,351.464361367443,248.19830979891,278.260452711425
8.30000000000001,354.186491047603,250.619442625061,280.893914431309
8.4,356.883131817942,253.023658073204,283.509472537599
8.5,359.5538205799,255.410729594096,286.106972754061
8.6,362.198756245712,257.780425742231,288.686239182168
8.7,364.818263711567,260.132505284579,291.247091475271
8.8,367.412683630687,262.466723660359,293.789342545412
8.9,369.982314054146,264.782871739989,296.312799556474
9,372.527459181654,267.080546448962,298.817302344094
9.1,375.048429228259,269.360063790991,301.302485991092
9.2,377.545570278185,271.620621240419,303.768562840514
9.3,380.019306034873,273.862393447792,306.214755702765
9.4,382.470159683618,276.084686858912,308.641280467026
9.5,384.898538572458,278.287411833398,311.047493294697
9.6,387.304975912162,280.470276467546,313.433348770184
