"Time [ms]","Steel_1008 [m_per_sec]","Steel_1008_NoEddy [m_per_sec]","SS430 [m_per_sec]"
0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,0,0
0.6,0,0,0
0.7,0,0,0
0.8,0,0,0
0.9,0,0,0
1,0,0,0
1.1,0,0,0
1.2,0,0,0
1.3,0,0,0
1.4,0,0,0
1.5,0,0,0
1.6,0,0,0
1.7,0,0,0
1.8,0,0,0
1.9,0,0,0
2,0,0,0
2.1,0,0,0
2.2,0,0,0
2.3,0,0,0
2.4,0,0,0
2.5,0,0,0
2.6,0,0,0
2.7,0,0,0
2.8,0,0,0
2.9,0,0,0
3,0,0,0
3.1,0,0,0
3.2,0,0,0
3.3,0,0,0
3.4,0,2.67205292840829E-06,0
3.5,0,1.81634057024116E-05,9.73699678566685E-06
3.6,0,5.41880076200853E-05,3.93240385421901E-05
3.7,9.03801554477111E-06,0.0001112207227013,8.93587882168314E-05
3.8,3.63733213628636E-05,0.000189731023699699,0.000160281642839737
3.9,8.24030198627669E-05,0.000290182938398707,0.00025252725566794
4,0.000147476739345061,0.000413035139122044,0.00036652449798294
4.1,0.000231939560747961,0.000558741032661564,0.000502696565687148
4.2,0.000336132406703548,0.00072774885187172,0.000661461091609022
4.3,0.000460393447010249,0.000920501750864419,0.00084323026311725
4.4,0.000605057260026094,0.00113743896799448,0.00104841196480678
4.5,0.000770452982085377,0.00137899384671384,0.00127740790119327
4.6,0.000956904096927368,0.00164559388936844,0.00153061368386644
4.7,0.00116472946744502,0.00193766294123642,0.00180842099558416
4.8,0.00139424135312418,0.00225562028245622,0.00211121683750896
4.9,0.00164574547542774,0.00259988073724395,0.00243938372684177
5,0.00191954290371303,0.00297085478693187,0.00279329975103502
5.1,0.00221592894805495,0.00336894868772948,0.00317333859091687
5.2,0.00253519354925857,0.00379456458678647,0.0035798695270215
5.3,0.00287762207570308,0.0042481006513191,0.00401325746099555
5.4,0.003243495527178,0.00472995119551295,0.00447386300580279
5.5,0.00363309061265762,0.00524050681071712,0.00496204261598373
5.6,0.00404667965025636,0.0057801545226097,0.00547814876345152
5.7,0.00448453039090595,0.00634927796221075,0.00602253018318734
5.8,0.0049469062227012,0.00694826075517046,0.00659553210844172
5.9,0.00543406641744618,0.00757748027729629,0.00719749962993282
6,0.00594626658883324,0.00823730767527542,0.00782877131544266
6.1,0.006483759426559,0.00892811437576395,0.00848967934068214
6.2,0.00704679856591182,0.00965026886908413,0.0091805557905134
6.3,0.00763563243752774,0.0104041368419042,0.00990172960292547
